Modalidade;Transportadora;Cep Inicial;Cep Final;UF;    Frete    ;Prazo;     Peso Inicial     ;        Peso Final        ;  GRIS  ;ADVALOREM;ICMS;Taxa Peso Extra;Fator Cubagem;Origem
16;35;05600000;05699999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05700000;05770999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05771000;05790450;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05792000;05798350;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;05800000;05894460;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;06000000;06298970;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;06300000;06397670;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;06400000;06485370;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;06500000;06544900;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;06700000;06722560;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;06750001;06795070;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;06800001;06846835;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;07000000;07099999;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;07100000;07274040;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;07400000;07443030;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;07700000;07794440;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;08000000;08191400;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;08200000;08380000;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;08410000;08491030;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
16;35;08500000;08545280;SP; 7,60 ;2; 0,501 ; 1,000 ;0,003;0;0;0;0;3333
